Physical inactivity,Access to exercise opportunities,Year,State
0.276,0.58,1/1/2014,AL
0.252,0.736,1/1/2015,AL
0.35,0.115,1/1/2014,AL
0.323,0.441,1/1/2015,AL
0.37,0.183,1/1/2014,AL
0.332,0.394,1/1/2015,AL
0.35,0.152,1/1/2014,AL
0.298,0.255,1/1/2015,AL
0.325,0.288,1/1/2014,AL
0.328,0.234,1/1/2015,AL
0.369,0.473,1/1/2014,AL
0.373,0.501,1/1/2015,AL
0.333,0.405,1/1/2014,AL
0.332,0.568,1/1/2015,AL
0.387,0.344,1/1/2014,AL
0.353,0.628,1/1/2015,AL
0.342,0.149,1/1/2014,AL
0.298,0.329,1/1/2015,AL
0.315,0.427,1/1/2014,AL
0.318,0.326,1/1/2015,AL
0.379,0.303,1/1/2014,AL
0.348,0.269,1/1/2015,AL
0.37,0.125,1/1/2014,AL
0.31,0.394,1/1/2015,AL
0.394,0.211,1/1/2014,AL
0.376,0.211,1/1/2015,AL
0.347,0.284,1/1/2014,AL
0.341,0.385,1/1/2015,AL
0.306,0.188,1/1/2014,AL
0.297,0.708,1/1/2015,AL
0.307,0.521,1/1/2014,AL
0.319,0.465,1/1/2015,AL
0.373,0.028,1/1/2014,AL
0.354,0.001,1/1/2015,AL
0.318,0.176,1/1/2014,AL
0.319,0.263,1/1/2015,AL
0.385,0.478,1/1/2014,AL
0.375,0.566,1/1/2015,AL
0.339,0.304,1/1/2014,AL
0.323,0.356,1/1/2015,AL
0.315,0.335,1/1/2014,AL
0.308,0.381,1/1/2015,AL
0.311,0.207,1/1/2014,AL
0.305,0.494,1/1/2015,AL
0.345,0.452,1/1/2014,AL
0.332,0.59,1/1/2015,AL
0.313,0.409,1/1/2014,AL
0.294,0.424,1/1/2015,AL
0.309,0.381,1/1/2014,AL
0.305,0.68,1/1/2015,AL
0.387,0.271,1/1/2014,AL
0.374,0.608,1/1/2015,AL
0.338,0.286,1/1/2014,AL
0.322,0.437,1/1/2015,AL
0.321,0.172,1/1/2014,AL
0.306,0.288,1/1/2015,AL
0.374,0.225,1/1/2014,AL
0.334,0.588,1/1/2015,AL
0.345,0.201,1/1/2014,AL
0.313,0.324,1/1/2015,AL
0.365,0.016,1/1/2014,AL
0.329,0.163,1/1/2015,AL
0.383,0.179,1/1/2014,AL
0.346,0.613,1/1/2015,AL
0.303,0.304,1/1/2014,AL
0.298,0.301,1/1/2015,AL
0.331,0.316,1/1/2014,AL
0.301,0.535,1/1/2015,AL
0.323,0.261,1/1/2014,AL
0.329,0.448,1/1/2015,AL
0.299,0.74,1/1/2014,AL
0.277,0.796,1/1/2015,AL
0.373,0.022,1/1/2014,AL
0.355,0.236,1/1/2015,AL
0.326,0.582,1/1/2014,AL
0.295,0.632,1/1/2015,AL
0.348,0.312,1/1/2014,AL
0.361,0.489,1/1/2015,AL
0.264,0.43,1/1/2014,AL
0.241,0.63,1/1/2015,AL
0.303,0.567,1/1/2014,AL
0.31,0.528,1/1/2015,AL
0.36,0.12,1/1/2014,AL
0.321,0.058,1/1/2015,AL
0.33,0.509,1/1/2014,AL
0.32,0.482,1/1/2015,AL
0.263,0.656,1/1/2014,AL
0.246,0.808,1/1/2015,AL
0.344,0.132,1/1/2014,AL
0.338,0.547,1/1/2015,AL
0.423,0.272,1/1/2014,AL
0.366,0.512,1/1/2015,AL
0.351,0.304,1/1/2014,AL
0.32,0.647,1/1/2015,AL
0.307,0.694,1/1/2014,AL
0.289,0.735,1/1/2015,AL
0.346,0.503,1/1/2014,AL
0.339,0.534,1/1/2015,AL
0.293,0.807,1/1/2014,AL
0.281,0.799,1/1/2015,AL
0.301,0.55,1/1/2014,AL
0.288,0.708,1/1/2015,AL
0.335,0.112,1/1/2014,AL
0.336,0.785,1/1/2015,AL
0.347,0.063,1/1/2014,AL
0.317,0.072,1/1/2015,AL
0.326,0.31,1/1/2014,AL
0.294,0.603,1/1/2015,AL
0.349,0.151,1/1/2014,AL
0.338,0.269,1/1/2015,AL
0.352,0.524,1/1/2014,AL
0.326,0.646,1/1/2015,AL
0.245,0.788,1/1/2014,AL
0.222,0.762,1/1/2015,AL
0.34,0.395,1/1/2014,AL
0.291,0.688,1/1/2015,AL
0.312,0.196,1/1/2014,AL
0.312,0.341,1/1/2015,AL
0.36,0.431,1/1/2014,AL
0.367,0.66,1/1/2015,AL
0.321,0.193,1/1/2014,AL
0.308,0.656,1/1/2015,AL
0.285,0.575,1/1/2014,AL
0.279,0.752,1/1/2015,AL
0.384,0.478,1/1/2014,AL
0.358,0.498,1/1/2015,AL
0.321,0.088,1/1/2014,AL
0.309,0.157,1/1/2015,AL
0.33,0.058,1/1/2014,AL
0.316,0.291,1/1/2015,AL
0.351,0.666,1/1/2014,AL
0.333,0.785,1/1/2015,AL
