Physical inactivity,Access to exercise opportunities,Year,State
0.374,0.473,1/1/2014,AR
0.333,0.554,1/1/2015,AR
0.309,0.326,1/1/2014,AR
0.298,0.786,1/1/2015,AR
0.266,0.64,1/1/2014,AR
0.246,0.843,1/1/2015,AR
0.33,0.469,1/1/2014,AR
0.31,0.485,1/1/2015,AR
0.343,0.653,1/1/2014,AR
0.346,0.668,1/1/2015,AR
0.364,0.265,1/1/2014,AR
0.352,0.096,1/1/2015,AR
0.305,0.378,1/1/2014,AR
0.295,0.487,1/1/2015,AR
0.35,0.285,1/1/2014,AR
0.359,0.095,1/1/2015,AR
0.318,0.516,1/1/2014,AR
0.305,0.771,1/1/2015,AR
0.365,0.498,1/1/2014,AR
0.364,0.296,1/1/2015,AR
0.308,0.685,1/1/2014,AR
0.332,0.713,1/1/2015,AR
0.287,0.012,1/1/2014,AR
0.302,0.012,1/1/2015,AR
0.304,0.344,1/1/2014,AR
0.313,0.537,1/1/2015,AR
0.294,0.298,1/1/2014,AR
0.331,0.436,1/1/2015,AR
0.341,0.606,1/1/2014,AR
0.336,0.634,1/1/2015,AR
0.328,0.306,1/1/2014,AR
0.325,0.658,1/1/2015,AR
0.326,0.588,1/1/2014,AR
0.336,0.623,1/1/2015,AR
0.347,0.245,1/1/2014,AR
0.356,0.424,1/1/2015,AR
0.36,0.398,1/1/2014,AR
0.374,0.413,1/1/2015,AR
0.339,0.438,1/1/2014,AR
0.339,0.39,1/1/2015,AR
0.329,0.171,1/1/2014,AR
0.32,0.577,1/1/2015,AR
0.292,0.401,1/1/2014,AR
0.289,0.714,1/1/2015,AR
0.322,0.507,1/1/2014,AR
0.316,0.692,1/1/2015,AR
0.365,0.175,1/1/2014,AR
0.339,0.317,1/1/2015,AR
0.262,0.658,1/1/2014,AR
0.265,0.902,1/1/2015,AR
0.315,0.221,1/1/2014,AR
0.321,0.288,1/1/2015,AR
0.339,0.66,1/1/2014,AR
0.353,0.745,1/1/2015,AR
0.324,0.363,1/1/2014,AR
0.324,0.609,1/1/2015,AR
0.34,0.194,1/1/2014,AR
0.387,0.379,1/1/2015,AR
0.331,0.443,1/1/2014,AR
0.344,0.494,1/1/2015,AR
0.357,0.513,1/1/2014,AR
0.366,0.515,1/1/2015,AR
0.349,0.297,1/1/2014,AR
0.335,0.469,1/1/2015,AR
0.385,0.299,1/1/2014,AR
0.385,0.228,1/1/2015,AR
0.364,0.387,1/1/2014,AR
0.368,0.67,1/1/2015,AR
0.344,0.515,1/1/2014,AR
0.35,0.526,1/1/2015,AR
0.326,0.124,1/1/2014,AR
0.335,0.161,1/1/2015,AR
0.328,0.429,1/1/2014,AR
0.313,0.416,1/1/2015,AR
0.346,0.288,1/1/2014,AR
0.336,0.428,1/1/2015,AR
0.307,0.548,1/1/2014,AR
0.338,0.384,1/1/2015,AR
0.319,0.17,1/1/2014,AR
0.338,0.619,1/1/2015,AR
0.359,0.652,1/1/2014,AR
0.366,0.602,1/1/2015,AR
0.29,0.353,1/1/2014,AR
0.272,0.642,1/1/2015,AR
0.312,0.507,1/1/2014,AR
0.318,0.519,1/1/2015,AR
0.291,0.379,1/1/2014,AR
0.297,0.601,1/1/2015,AR
0.325,0.518,1/1/2014,AR
0.336,0.646,1/1/2015,AR
0.411,0.367,1/1/2014,AR
0.427,0.346,1/1/2015,AR
0.352,0.554,1/1/2014,AR
0.377,0.554,1/1/2015,AR
0.282,0.962,1/1/2014,AR
0.289,0.975,1/1/2015,AR
0.345,0.379,1/1/2014,AR
0.338,0.379,1/1/2015,AR
0.371,0.6,1/1/2014,AR
0.372,0.6,1/1/2015,AR
0.371,0.163,1/1/2014,AR
0.359,0.437,1/1/2015,AR
0.309,0.276,1/1/2014,AR
0.319,0.274,1/1/2015,AR
0.374,0.58,1/1/2014,AR
0.355,0.127,1/1/2015,AR
0.279,0.43,1/1/2014,AR
0.272,0.599,1/1/2015,AR
0.369,0.414,1/1/2014,AR
0.33,0.486,1/1/2015,AR
0.328,0.584,1/1/2014,AR
0.335,0.63,1/1/2015,AR
0.27,0.622,1/1/2014,AR
0.276,0.87,1/1/2015,AR
0.343,0.341,1/1/2014,AR
0.343,0.301,1/1/2015,AR
0.295,0.886,1/1/2014,AR
0.273,0.878,1/1/2015,AR
0.328,0.086,1/1/2014,AR
0.351,0.283,1/1/2015,AR
0.288,0.458,1/1/2014,AR
0.273,0.734,1/1/2015,AR
0.352,0.898,1/1/2014,AR
0.311,0.898,1/1/2015,AR
0.324,0.286,1/1/2014,AR
0.324,0.286,1/1/2015,AR
0.315,0.528,1/1/2014,AR
0.336,0.637,1/1/2015,AR
0.316,0.593,1/1/2014,AR
0.317,0.465,1/1/2015,AR
0.31,0.365,1/1/2014,AR
0.303,0.554,1/1/2015,AR
0.359,0.656,1/1/2014,AR
0.366,0.473,1/1/2015,AR
0.33,0.606,1/1/2014,AR
0.31,0.533,1/1/2015,AR
0.316,0.109,1/1/2014,AR
0.358,0.389,1/1/2015,AR
0.293,0.422,1/1/2014,AR
0.283,0.587,1/1/2015,AR
0.253,0.79,1/1/2014,AR
0.241,0.782,1/1/2015,AR
0.277,0.506,1/1/2014,AR
0.28,0.549,1/1/2015,AR
0.309,0.23,1/1/2014,AR
0.338,0.23,1/1/2015,AR
0.287,0.537,1/1/2014,AR
0.344,0.56,1/1/2015,AR
